time,A,B,C,D,A_emergency,B_emergency,C_emergency,D_emergency
1,80,85,20,25,0,0,0,0
2,82,81,22,18,0,0,0,0
3,78,90,24,21,0,0,0,0
4,85,83,19,23,0,0,0,0
5,84,88,25,17,0,0,0,0
6,91,87,16,26,0,0,0,0
7,89,82,23,20,0,0,0,0
8,79,86,21,24,0,0,0,0
9,83,85,18,22,0,0,0,0
10,87,89,25,19,0,0,0,0
11,86,80,21,23,0,0,0,0
12,84,88,23,19,0,0,0,0
13,82,89,22,20,0,0,0,0
14,78,83,24,21,0,0,0,0
15,81,87,20,25,0,0,0,0
16,85,82,18,23,0,0,0,0
17,86,89,21,20,0,0,0,0
18,80,84,23,19,0,0,0,0
19,88,83,19,24,0,0,0,0
20,85,87,21,22,0,0,0,0
21,82,81,25,18,0,0,0,0
22,83,89,20,21,0,0,0,0
23,79,84,22,23,0,0,0,0
24,87,86,19,20,0,0,0,0
25,81,82,24,25,0,0,0,0
26,85,89,18,21,0,0,0,0
27,88,83,20,23,0,0,0,0
28,84,80,22,19,0,0,0,0
29,86,87,24,20,0,0,0,0
30,82,88,21,23,0,0,0,0
31,79,81,19,24,0,0,0,0
32,84,89,23,21,0,0,0,0
33,80,83,20,22,0,0,0,0
34,88,86,24,18,0,0,0,0
35,85,81,21,25,0,0,0,0
36,83,87,19,20,0,0,0,0
37,86,82,23,22,0,0,0,0
38,81,89,20,24,0,0,0,0
39,80,84,22,19,0,0,0,0
40,87,85,24,21,0,0,0,0
41,83,88,21,23,0,0,0,0
42,84,82,20,19,0,0,0,0
43,89,86,22,25,0,0,0,0
44,81,80,24,20,0,0,0,0
45,87,89,21,23,0,0,0,0
46,82,84,19,22,0,0,0,0
47,86,85,23,20,0,0,0,0
48,80,88,21,24,0,0,0,0
49,83,82,25,19,0,0,0,0
50,85,89,20,21,0,0,0,0
51,88,84,22,23,0,0,0,0
52,81,86,24,18,0,0,0,0
53,87,80,20,25,0,0,0,0
54,82,89,22,21,0,0,0,0
55,85,83,24,19,0,0,0,0
56,80,87,21,23,0,0,0,0
57,84,88,19,20,0,0,0,0
58,82,81,23,24,0,0,0,0
59,86,89,20,22,0,0,0,0
60,89,83,24,19,0,0,0,0
61,84,80,21,23,0,0,0,0
62,85,87,25,18,0,0,0,0
63,88,82,20,24,0,0,0,0
64,83,86,22,21,0,0,0,0
65,81,89,24,19,0,0,0,0
66,80,84,20,25,0,0,0,0
67,87,85,22,20,0,0,0,0
68,82,88,24,23,0,0,0,0
69,86,81,21,19,0,0,0,0
70,89,87,20,25,0,0,0,0
71,80,83,22,21,0,0,0,0
72,84,88,24,18,0,0,0,0
73,81,82,21,23,0,0,0,0
74,85,89,19,20,0,0,0,0
75,88,83,23,24,0,0,0,0
76,82,80,21,22,0,0,0,0
77,86,87,25,19,0,0,0,0
78,89,81,20,21,0,0,0,0
79,84,88,22,23,0,0,0,0
80,80,83,24,18,0,0,0,0
81,85,86,20,25,0,0,0,0
82,88,81,22,21,0,0,0,0
83,82,87,24,19,0,0,0,0
84,83,89,21,23,0,0,0,0
85,81,87,19,24,0,0,0,0
86,89,83,22,21,0,0,0,0
87,84,88,20,23,0,0,0,0
88,80,85,25,18,0,0,0,0
89,83,82,21,20,0,0,0,0
90,87,86,23,24,0,0,0,0
91,81,80,22,19,0,0,0,0
92,85,89,20,21,0,0,0,0
93,88,84,24,23,0,0,0,0
94,82,86,21,18,0,0,0,0
95,83,81,25,20,0,0,0,0
96,80,87,22,23,0,0,0,0
97,84,88,24,19,0,0,0,0
98,85,82,21,22,0,0,0,0
99,89,86,23,20,0,0,0,0
100,81,83,20,24,0,0,0,0
